Label,Bytes,Starts (JP),Japanese,English,Draft,Notes
Original total,2870
Current total,=SUM(B4:B9999)
SilentLabP1TextString1,182,"text
line

para
line
cont
cont
cont

para
line
cont
cont
cont
cont

para
line
cont
cont
done","パソコンを　みると
なんと　メールが　きていた！

<⋯⋯>　<⋯⋯>　<⋯⋯>
オーキドはかせ！
あなたが　ゆくえふめいに
なっていると　せけんは
おおさわぎ　です！

それは　そうと
はかせ　から　みつけるように
たのまれた　れいの#
みつけるどころか
まだ　てがかりも
つかむことが　できません

やはり　あいつは
かくうの　#なのでは
ないでしょうか<⋯⋯>
<⋯⋯>　<⋯⋯>　<⋯⋯>じょしゅより
",[SilentLabP1Text…]
SilentLabP1TextString2A,32,"text
line
done","スタート　ボタンを　プシュ！
おすと　メニューが　ひらくなり
",[SilentLabP1Text…]
SilentLabP1TextString2B,30,"text
line
done","セーブするには　#　レポート
こまめに　かくと　いいなり
",[SilentLabP1Text…]
SilentLabP1TextString3,12,"text
done","カギが　かかっている
",[SilentLabP1Text…]
SilentLabP1TextString4,14,"text
done","オーキド『ごくろうさん！
",[SilentLabP1Text…]
SilentLabP1TextString5,89,"text
line
cont

para
line

para
line","オーキド『そうとも！
わしが　オーキドじゃ！
じじいで　わるかったな！

おまえたち　ふたりは
この　オーキドが　よんだのじゃ！

すこし　わしの　はなしを
きいては　くれんか？@",[SilentLabP1Text…]
SilentLabP1TextString6A,388,"text
line
cont
cont
cont

para
line

para
line
cont
cont
cont

para
line
cont
cont

para
line
cont

para
line
cont
cont

para
line
cont
cont
cont

para
line
cont
done","オーキド『いまから　１ねんまえ
わしは　カントーで
きみたちの　ような　しょうねんに
#の　けんきゅうの　ため
#と　ずかんを　わたした

そして　かれらは
じつに　よくやってくれた！

１５０しゅるいの
#を　みつけることに
せいこう　したのじゃ！
が　<⋯⋯>　<⋯⋯>　<⋯⋯>
しかし　<⋯⋯>　<⋯⋯>

せかいは　ひろいものじゃ
そのご　ぜんこく　かくちで
あたらしい　#が　ぞくぞくと
みつかっておる！

そこで　わしは　カントーから
ここ　サイレントヒルに
けんきゅうの　ばしょを　うつした

ばしょが　かわれば
あたらしい　#にも
であうことが　できるからな
<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>

これからも　どんどんと
けんきゅうを　すすめるが
わしも　ごらんのとおりの　おいぼれ
まごや　じょしゅたちも　おるが
それでも　やはり　かずが　たらん！

<PLAYER>！　<RIVAL>！
#けんきゅうの　ために
ちからを　かして　くれんか！
",[SilentLabP1Text…]
SilentLabP1TextString6B,91,"text
line
cont

para
line
cont

para
cont
done","オーキド『そうか<⋯⋯>
わしに　ひとを　みるめが
なかったと　いうことじゃな<⋯⋯>

いや！
わしの　ひとを　みるめは
まちがっては　おらんはず！

な？
わしの　はなしを　きいてくれるな？
",[SilentLabP1Text…]
SilentLabP1TextString7,29,"text
line
done","オーキド『ふたりとも！
ちょっと　わしに　ついてこい！
",[SilentLabP1Text…]
SilentLabP1TextString8,31,"text
line
cont
done","オーキド『<PLAYER>！<RIVAL>！
このずかんを
おまえたちに　あずける！
",[SilentLabP1Text…]
