Label,Bytes,Compact,Starts (JP),Japanese,English,Draft,Notes
Original total,507,,,,,,
Current total,507,,,,,,
SilentLabP2TextString1,73,0,"text
cont
cont

para
cont
cont
done","オーキド『ほれ　そこに　３びき
ポケモンが　いる　じゃろう！
ほっほ！

こいつらを　きみたちに
いっぴき　づつ　やろう！
⋯⋯　さあ　えらべ！
","OAK: Look over
there! Do you see
those 3 #MON?
Hohoho!

You can each have
one! Choose!",,"Similar to RG. In fact, most of the text in this scene is either similar or identical to RG."
SilentLabP2TextString2,34,0,"text
line
cont
done","オーキド『まあ
あわてるな　<RIVAL>！
おまえも　すきなものを　とれ！
","OAK: Now now,
<RIVAL>, there's
no need to rush.
Take whichever one
you'd like!
",,
SilentLabP2TextString3,26,0,"text
line
done","オーキド『さあ　<PLAYER>
どの　ポケモンに　するかね？
","OAK: Now, <PLAYER>,
which #MON
do you want?",,From RG.
SilentLabP2TextString4,20,1,"text
line","オーキド『ほう！　ほのおのポケモン
@","OAK: So! You want
the fire #MON,
@",,"These need to be tested big time.
Also, they match up with RG."
SilentLabP2TextString4,11,1,text,に　するんじゃな？@,?@,,
SilentLabP2TextString5,18,1,"text
line","オーキド『ふむ　みずのポケモン
@","OAK: So! You want
the water #MON,
@",,
SilentLabP2TextString5,12,1,text,に　きめるのじゃな？@,?@,,
SilentLabP2TextString6,19,1,"text
line","オーキド『おお！　くさのポケモン
@","OAK: So! You want
the plant #MON,
@
",,
SilentLabP2TextString6,11,1,text,が　いいんじゃな？@,?@,,
SilentLabP2TextString7,15,0,"text
line
done","では
どれに　するのじゃ？
","Very well.
Which one would
you like?",,
SilentLabP2TextString8,44,1,"text
line

para
line","オーキド『この　ポケモンは
ほんとに　げんきが　いいぞ！

<PLAYER>は　オーキドはかせから
@","This #MON is
really energetic!

<PLAYER> received
a @",,From RG.
SilentLabP2TextString8,9,0,text,を　もらった！<PROMPT>,!<PROMPT>,,
SilentLabP2TextString9,58,0,"text
line
cont
cont
done","オーキド『そうじゃ！
やせいの　ポケモンが　でて　きても
そいつを　たたかわせて　いけば
となりまちへ　いける！
","OAK: If a wild
#MON appears,
your #MON can
fight against it!",,Also from RG.
SilentLabP2TextString10,28,0,"text
line
done","<RIVAL>『あッ！　おれにも！
じいさん　おれにもくれよう！
","<RIVAL>: Me too!
C'mon, gramps,
gimme one too!",,
SilentLabP2TextString11,36,0,"text
line
cont
done","<RIVAL>『いいぜ　<PLAYER>！
さきに　えらんで！
おれは　こころが　ひろいからな
","<RIVAL>: I'll let
you choose first,
<PLAYER>, 'cause
I'm a generous
kind of guy!",,
SilentLabP2TextString12,14,0,"text
done","<RIVAL>『じゃ　おれは　これ！
","<RIVAL>: I'll take
this one, then!",,
SilentLabP2TextString13,12,1,"text
line","<RIVAL>は　オーキドから
@","<RIVAL> received
a@",,
SilentLabP2TextString13,9,0,"text
done","を　もらった！
",!,,
SilentLabP2TextString14,36,0,"text
line
cont
cont
done","<RIVAL>『<PLAYER>の#
いいなあ！
でも　おれのポケモンも
ちょっと　いいだろ？
","<RIVAL>: Your
#MON is really
cool, <PLAYER>!
But mine's pretty
nice too, right?
",,
SilentLabP2TextString15,22,0,"text
line
done","オーキド『これ！
よくばっちゃ　いかん！
","OAK: Hey now!
Don't be greedy!",,
